timestamp,temperature,vibration,pressure,power
2026-01-09T08:00:00,580.0,0.8,31.5,25000
2026-01-09T08:15:00,582.5,0.9,31.3,25200
2026-01-09T08:30:00,585.0,1.0,31.0,25400
2026-01-09T08:45:00,588.0,1.1,30.8,25600
2026-01-09T09:00:00,591.0,1.2,30.5,25800
2026-01-09T09:15:00,594.5,1.3,30.2,26000
2026-01-09T09:30:00,598.0,1.5,29.8,26200
2026-01-09T09:45:00,602.0,1.7,29.5,26400
2026-01-09T10:00:00,606.0,1.9,29.2,26600
2026-01-09T10:15:00,610.5,2.1,28.8,26800
2026-01-09T10:30:00,615.0,2.3,28.5,27000
2026-01-09T10:45:00,620.0,2.5,28.2,27200
2026-01-09T11:00:00,625.0,2.8,27.8,27400
2026-01-09T11:15:00,630.5,3.1,27.5,27600
2026-01-09T11:30:00,636.0,3.4,27.2,27800
2026-01-09T11:45:00,642.0,3.7,26.8,28000
2026-01-09T12:00:00,648.0,4.0,26.5,28200
2026-01-09T12:15:00,654.5,4.3,26.2,28400
2026-01-09T12:30:00,661.0,4.6,25.8,28600
2026-01-09T12:45:00,668.0,4.9,25.5,28800
2026-01-09T13:00:00,675.0,5.2,25.2,29000
2026-01-09T13:15:00,682.0,5.5,24.8,29200
2026-01-09T13:30:00,689.0,5.8,24.5,29400
2026-01-09T13:45:00,696.0,6.1,24.2,29600
2026-01-09T14:00:00,703.0,6.4,23.8,29800
